Actor
WINFREY, OPRAH
WINGFIELD, PETER
WINSTON, HATTIE
WINTERS, JONATHAN
WINTERS, SHELLEY
WISDEN, ROBERT
WONG, BD
WONG, VICTOR (III)
WOODARD, ALFRE
WOODS, JAMES A.
WOODWARD, TIM (I)
WRIGHT, MICHAEL (I)
WU, PAUL (I)
WYNTER, SARAH (I)
YIP, FRANÁOISE
YOAKAM, DWIGHT
YOUNG, SEAN (I)
YULIN, HARRIS
ZAHARA, ALEX
ZELLER, BEN
ZEMAN, RICHARD
